step=1 pos=(6,14,F2) action=2 | I am on Floor_2 (floor 2, position (6,14)).
step=53 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,11) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1.
step=54 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,11) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1.
step=55 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,11) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1.
step=56 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (12,11) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1.
step=57 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=58 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=59 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=60 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=61 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=62 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=63 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=64 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1.
step=65 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=66 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=67 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=68 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=69 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=70 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=71 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=72 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=73 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=74 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
step=75 pos=(14,14,F0) action=0 | I am on Exit (floor 0, position (14,14)). Fire at (11,11) on floor 1. Fire at (12,11) on floor 1. Smoke at (11,12) on floor 1. Smoke at (11,13) on floor 1. Smoke at (11,14) on floor 1. Smoke at (12,12) on floor 1. Smoke at (13,11) on floor 1. Smoke at (13,12) on floor 1. Smoke at (14,11) on floor 1.
