"taskCount","taskId","userId","time","AOI","X","Y","Z"
20,"54_L-NS0_R-WM1",59704686,"4979","corridor_right","150","-31,961411536241435","-13,854638587338187"
0,"L-NL0_R-WS1_in_tr",59812122,"null","null","null","null","null"
0,"27_L-WL0_R-NS0_tr",59812122,"4633","corridor_left","-150","-21,305638392477253","0,31425104762948664"
0,"09_L-ES0_R-EL1_tr",59812122,"4286","corridor_right","150","-27,49677845745887","-7,4535734515228285"
1,"53_L-NM1_R-WS0",59812122,"4815","corridor_left","-150,00000000000003","-19,32866386382285","-14,36042710033044"
2,"58_L-WM0_R-NL1",59812122,"4178","corridor_right","150,00000000000003","-22,620729554385004","-2,0995520585645124"
3,"20_L-NM0_R-WS0",59812122,"5038","corridor_right","150","-25,171740344743004","0,15744365147031658"
4,"12_L-NM0_R-WM0",59812122,"3669","corridor_right","150","-40,057925193934274","15,755578278674564"
5,"54_L-NS0_R-WM1",59812122,"4008","corridor_right","150","-27,250742618984017","10,396773094767235"
6,"29_L-WL1_R-NS0",59812122,"3741","corridor_left","-150","-14,012936952807664","0,9913592181886113"
7,"09_L-ES0_R-EL1",59812122,"2581","corridor_right","150","-19,020472074781043","-0,2979220595952796"
8,"24_L-NS1_R-WL0",59812122,"577","corridor_right","150","-19,910696717378773","15,22443384929905"
9,"02_L-EL0_R-ES0",59812122,"1712","corridor_right","150,00000000000003","-28,42524826098516","-22,67219785376048"
10,"44_L-ES0_R-EM1",59812122,"4227","corridor_right","150,00000000000003","-18,353636506848797","-1,9442381264805704"
11,"40_L-EM0_R-ES1",59812122,"3113","corridor_left","-150,00000000000003","-19,99171735682555","-12,675221343576226"
12,"41_L-EM1_R-EL0",59812122,"3116","corridor_left","-150,00000000000003","-26,647648527986792","-7,977327209450522"
13,"10_L-ES0_R-EM0",59812122,"3641","corridor_left","-150,00000000000003","-39,98904124329167","-12,442999957789056"
14,"43_L-EM1_R-ES0",59812122,"4193","corridor_left","-150,00000000000003","-23,004970454716187","-10,605252120954049"
15,"07_L-EM0_R-ES0",59812122,"3994","corridor_right","150,00000000000003","-38,162221480810885","-22,90625775342656"
16,"55_L-NS1_R-WM0",59812122,"4518","corridor_right","150","-11,914350983976725","-5,719652915870213"
17,"42_L-EM1_R-EM0",59812122,"2768","corridor_left","-150","-20,24662205368138","-12,42982979415612"
18,"01_L-EL0_R-EM0",59812122,"3240","corridor_right","150,00000000000003","-26,840947496204688","1,4524499662015984"
19,"35_L-WS1_R-NL0",59812122,"4648","corridor_left","-150","-35,06614544406354","-1,148720404221006"
20,"11_L-ES1_R-EL0",59812122,"3331","corridor_left","-150,00000000000003","-40,27805648025562","-30,248407460663927"
0,"L-NL0_R-WS1_in_tr",60003713,"2187","corridor_right","150","-13596265681595614","-3,3955069735860093"
0,"27_L-WL0_R-NS0_tr",60003713,"1647","corridor_left","-150","-31172439283212236","8,070313031346684"
0,"09_L-ES0_R-EL1_tr",60003713,"2041","corridor_right","1.5e+16","-2022378676527624","-9,702098487929305"
1,"08_L-ES0_R-EL0",60003713,"2107","corridor_left","-1.5e+16","-2754677315834494","-79,37445046412452"
2,"13_L-WS0_R-NM1",60003713,"2434","corridor_left","-150","-3889985962169165","1,0426988333272789"
3,"25_L-WM0_R-NM0",60003713,"3396","corridor_left","-150","-2687840019599238","8,9283044266588"
4,"47_L-NL1_R-WM0",60003713,"4650","corridor_right","150","-33209658550024516","0,29674392566823826"
5,"26_L-WL0_R-NM0",60003713,"3779","corridor_left","-150","-47803069283453616","-1,0119498165820566"
6,"59_L-WM0_R-NM1",60003713,"4212","corridor_left","-150","-113708948338002","1,816158503515135"
7,"24_L-NS1_R-WL0",60003713,"2582","corridor_right","1.5e+16","-207009332975348","26,230092239832288"
8,"15_L-NL0_R-WM0",60003713,"3396","corridor_right","150","-2643553609493616","23,465398246362938"
9,"55_L-NS1_R-WM0",60003713,"4985","corridor_right","150","-20812627233128760","1,3034164088340106"
10,"16_L-NL0_R-WS0",60003713,"3900","corridor_right","1.5e+16","10662806501204614","-13,880162066225246"
11,"38_L-EM0_R-EL1",60003713,"4815","corridor_right","1.5e+16","1027058008545226","-19,925223354324714"
12,"57_L-WL1_R-NM0",60003713,"3605","corridor_left","-150","5753215354070285","0,22405762224128978"
13,"50_L-NM0_R-WS1",60003713,"5553","corridor_right","150","-7941552855075493","34,768217292852356"
14,"20_L-NM0_R-WS0",60003713,"5469","corridor_right","150","-8940053872861625","38,85548229157768"
15,"43_L-EM1_R-ES0",60003713,"4767","corridor_left","-1.5e+16","-22683210109285520","-18,96253570866753"
16,"05_L-EM0_R-EL0",60003713,"3632","corridor_left","-1.5e+16","-5192108318172501","-37,511702205239274"
17,"28_L-WL0_R-NS1",60003713,"754","corridor_left","-150","-29018285574871896","-32,79572022653388"
18,"51_L-NM1_R-WL0",60003713,"5754","corridor_right","1.5e+16","-1800302155557568","7,497297541548498"
19,"61_L-WM1_R-NL0",60003713,"5021","corridor_left","-150","-2223571139129809","58,59899930593188"
20,"44_L-ES0_R-EM1",60003713,"4960","corridor_left","-1.5e+16","-27013298590870168","-49,60002653821417"
0,"L-NL0_R-WS1_in_tr",6017211,"1977","corridor_left","-150","-12675295203855882","-22,21670418167126"
0,"27_L-WL0_R-NS0_tr",6017211,"1677","corridor_left","-150","-31265898396043652","1,6690068262714597"
0,"09_L-ES0_R-EL1_tr",6017211,"3245","corridor_right","1.5e+16","-18498798206117888","-6,943973275793397"
1,"32_L-WS0_R-NL0",6017211,"4532","corridor_left","-150","-2875040113985448","25,55634792384521"
